KPI_DATE,REVENUE,ORDERS,CUSTOMERS,INVENTORY,CHURN_RATE
2026-04-11,16480.82,368,131,500,1
2026-04-12,19079.48,364,217,425,4.2
2026-04-13,7977,256,215,433,4.8
2026-04-14,13869,306,227,361,3
2026-04-15,16135.1,187,213,526,3.5
2026-04-16,16273.83,309,107,435,3.8
2026-04-17,16002,322,223,396,3.3
2026-04-18,16641.92,236,144,544,5.4
2026-04-19,20793.58,210,262,598,3.8
2026-04-20,14835.23,221,204,337,3.4
2026-04-21,21810.26,192,260,561,1.3
2026-04-22,13052.26,247,153,396,1
2026-04-23,17199.54,341,150,395,1
2026-04-24,20233.83,249,257,438,2.8
2026-04-25,19925.95,237,143,447,3.2
2026-04-26,18582.1,276,172,457,7.5
2026-04-27,21973.11,212,189,202,4.2
2026-04-28,17525.3,184,194,372,1.1
2026-04-29,11799.01,264,210,455,2.9
2026-04-30,9254,215,170,327,3.1
2026-05-01,15349.43,321,186,487,4.4
2026-05-02,19574.01,300,219,424,2.4
2026-05-03,18844.32,310,174,176,2
2026-05-04,17559.83,283,203,427,4.6
2026-05-05,22308.95,264,175,660,1
2026-05-06,16219.42,323,240,237,3.7
2026-05-07,14478.63,237,169,440,7.6
2026-05-08,20642.12,177,199,391,3.9
2026-05-09,17201.7,249,216,513,1.6
2026-05-10,28547.21,316,230,295,1.5
2026-05-11,18647.64,314,153,449,7
2026-05-12,9819.93,238,235,305,1.6
2026-05-13,20260.51,250,202,548,4.1
2026-05-14,19804.41,262,191,304,4.2
2026-05-15,17348.94,291,175,284,1
2026-05-16,19520.26,330,161,326,1.6
2026-05-17,7292,240,141,384,6.3
2026-05-18,14434.08,334,212,281,1.6
2026-05-19,21312.01,237,160,434,8.4
2026-05-20,19604.33,203,208,532,1.6
2026-05-21,17362.93,253,196,553,5
2026-05-22,14422.6,335,197,471,1.4
2026-05-23,18178.72,232,152,408,2.4
2026-05-24,29725.54,184,215,519,3.1
2026-05-25,15416.67,281,206,452,1.7
2026-05-26,20157.84,236,159,161,3
2026-05-27,16780.22,296,224,402,1
2026-05-28,17045.59,229,153,370,4.1
2026-05-29,14199.91,317,148,312,4.2
2026-05-30,22231.48,303,173,405,2.6
2026-05-31,22727.59,249,191,472,1.3
2026-06-01,16606.69,376,250,505,2.5
2026-06-02,22891.68,317,134,421,2.1
2026-06-03,8571,323,105,424,5.8
2026-06-04,19725.82,316,189,371,6.3
2026-06-05,20558.57,285,164,436,2.1
2026-06-06,23631.58,261,214,318,1.6
2026-06-07,12084.59,211,203,344,6.2
2026-06-08,12168.68,332,257,235,3.6
2026-06-09,21430.91,288,161,377,5.4
2026-06-10,20934.44,237,251,408,2.9
2026-06-11,16358.54,282,186,498,6.5
2026-06-12,18902.03,242,195,411,5.7
2026-06-13,23573.16,277,187,433,2.1
2026-06-14,15481.65,228,217,458,2.5
2026-06-15,14156.21,320,176,499,2.1
2026-06-16,13308.17,244,195,556,3.2
2026-06-17,20445.64,365,242,429,1
2026-06-18,19704.19,276,187,440,3.2
2026-06-19,19062,229,218,423,5.4
2026-06-20,9038,234,211,529,1.5
2026-06-21,21570.15,281,179,353,3.8
2026-06-22,17983.91,266,215,237,3
2026-06-23,16156.19,221,201,310,2.2
2026-06-24,15639.23,275,203,180,2
2026-06-25,20665.3,228,212,380,6.2
2026-06-26,24526.75,271,186,426,5.6
2026-06-27,13444.58,357,177,414,1
2026-06-28,22960.91,215,197,580,3.7
2026-06-29,20230.06,259,248,434,1
2026-01-01,19033.18,275,183,401,3.6
2026-01-02,17114.9,244,203,487,2.6
2026-01-03,15979.2,275,206,240,2.1
2026-01-04,21084.4,256,210,605,1.3
2026-01-05,20866.04,252,233,301,9.4
2026-01-06,18273.76,270,241,378,1.9
2026-01-07,20528.76,212,219,468,3.4
2026-01-08,8521,209,232,413,5.3
2026-01-09,19985.07,280,261,449,1
2026-01-10,15073.58,262,202,508,1
2026-01-11,16845.18,303,244,587,2.8
2026-01-12,21841.62,337,231,485,5
2026-01-13,15235.4,194,224,388,3.4
2026-01-14,15974.48,242,198,328,3.6
2026-01-15,18861.19,256,163,490,6.9
2026-01-16,15895.65,315,221,181,2.1
2026-01-17,15774.56,295,196,462,4.6
2026-01-18,14853.79,226,147,404,3.3
2026-01-19,18599.22,227,221,502,6.3
2026-01-20,20489.58,268,213,474,2.3
2026-01-21,22512.85,337,259,423,4.1
2026-01-22,19457.26,259,211,409,3.2
2026-01-23,24156.44,267,192,499,3.8
2026-01-24,19020.68,257,147,196,1.5
2026-01-25,9135,258,105,414,6.5
2026-01-26,19647.05,239,237,739,4.8
2026-01-27,20117.65,221,233,509,1
2026-01-28,20603.81,248,207,508,8.6
2026-01-29,17192.6,217,166,376,1.6
2026-01-30,17870.55,265,173,316,1
2026-01-31,11350.81,231,123,500,1
2026-02-01,21381.71,201,223,390,4.9
2026-02-02,17733.57,371,174,325,4.1
2026-02-03,18801.83,192,214,386,4.2
2026-02-04,26152.66,301,141,369,1
2026-02-05,21783.76,303,176,445,3.2
2026-02-06,17290.37,297,223,484,4.7
2026-02-07,21317.34,283,163,378,3.2
2026-02-08,17552.53,291,149,469,3.8
2026-02-09,13148.96,233,150,317,1.8
2026-02-10,17704.95,249,181,570,5
2026-02-11,7125,270,207,401,2.9
2026-02-12,21608.18,290,162,489,4.4
2026-02-13,20527.18,211,264,266,1.4
2026-02-14,21279.14,322,203,431,1.7
2026-02-15,19286.26,223,167,443,5.6
2026-02-16,17044.66,278,169,311,2
2026-02-17,17493.74,283,289,477,3.9
2026-02-18,23627.9,234,192,345,5
2026-02-19,20810.05,238,197,356,3.2
2026-02-20,13151.96,235,168,491,8.1
2026-02-21,14257.59,294,204,337,4.3
2026-02-22,16157.38,231,114,208,5.6
2026-02-23,25496.47,309,121,567,5.3
2026-02-24,18195.91,319,155,406,2.9
2026-02-25,20961.91,246,208,375,3.4
2026-02-26,10405.07,253,157,537,4.9
2026-02-27,12163.91,262,209,459,5.8
2026-02-28,9373,194,216,559,1
2026-03-01,18216.76,163,215,302,2.5
2026-03-02,13039.23,196,176,383,5.3
2026-03-03,19573.29,248,216,520,4.2
2026-03-04,16577.89,305,251,479,6.7
2026-03-05,21243.1,298,151,319,3.4
2026-03-06,12156.9,233,220,360,4.5
2026-03-07,13270.62,237,225,438,4
2026-03-08,23966.53,318,159,538,2.4
2026-03-09,17938.44,260,227,318,4.3
2026-03-10,19834.05,296,182,510,2.2
2026-03-11,22014.71,275,140,456,3.8
2026-03-12,16755.2,226,181,290,6.5
2026-03-13,14051.02,230,230,472,4.8
2026-03-14,23308.48,245,153,495,4.9
2026-03-15,16855.89,203,233,471,9.7
2026-03-16,17624.88,191,140,398,2
2026-03-17,8991,241,206,468,7.8
2026-03-18,23760.38,454,206,482,4
2026-03-19,13952.2,188,175,289,3.1
2026-03-20,21463.52,216,173,390,4.7
2026-03-21,22878.01,191,136,415,3
2026-03-22,14327.45,314,237,396,3.5
2026-03-23,11875.09,263,215,174,2.8
2026-03-24,12274.75,340,228,410,3.1
2026-03-25,21364.89,144,174,486,1
2026-03-26,19712.77,286,144,277,2.7
2026-03-27,17452.8,309,133,386,6.5
2026-03-28,16915.48,356,212,497,4.7
2026-03-29,17180.62,220,199,449,3.6
2026-03-30,15433.5,259,223,416,7.6
2026-03-31,19425.26,294,147,432,2.6
2026-04-01,16487.46,342,183,373,3
2026-04-02,14329.07,278,190,413,6.9
2026-04-03,7195,238,173,412,3.1
2026-04-04,20878.41,264,239,396,3
2026-04-05,20134.7,214,141,391,1
2026-04-06,15468.34,259,191,349,5.4
2026-04-07,19995.2,321,157,407,9.5
2026-04-08,16733.95,250,189,438,3.1
2026-04-09,15435.66,288,189,335,4.7
2026-04-10,19070.83,248,176,288,2
2026-04-11,20181.58,291,163,529,4.8
2026-04-12,13346.31,310,185,439,4.4
2026-04-13,16222.89,154,212,433,4.5
2026-04-14,10950.9,244,217,287,5.5
2026-04-15,17057.26,262,172,361,3.9
2026-04-16,17165.36,239,166,449,1.7
2026-04-17,14951.73,288,220,397,4.6
2026-04-18,22954.18,205,236,416,4.2
2026-04-19,14695.61,281,212,418,3.3
2026-04-20,7682,242,215,285,4.5
2026-04-21,16796.29,221,258,185,1
2026-04-22,27926.71,209,142,545,4.4
2026-04-23,14509.22,290,189,366,6.9
2026-04-24,19322.36,238,156,466,4.4
2026-04-25,15968.38,226,198,412,4.6
2026-04-26,21143.72,226,217,463,4
2026-04-27,15961.2,289,174,645,4.6
2026-04-28,18364.04,161,181,534,5.6
2026-04-29,17307.23,230,148,330,4.7
2026-04-30,17979.85,271,200,486,10.5
2026-05-01,21401.29,150,241,408,2.9
2026-05-02,13719.11,250,218,497,5.9
2026-05-03,17333.89,233,173,469,6.7
2026-05-04,17421.38,264,230,344,5.3
2026-05-05,8216.64,286,239,556,5.2
2026-05-06,19415.97,249,150,341,4.5
2026-05-07,7525,249,184,452,1.4
2026-05-08,18899.99,316,147,383,2.6
2026-05-09,21642.82,249,200,403,4.2
2026-05-10,19418.78,280,216,399,1.9
2026-05-11,24923.4,225,205,363,2
2026-05-12,14677.28,286,211,315,3.1
2026-05-13,22081.43,353,219,528,3
2026-05-14,13309.63,291,152,429,3.1
2026-05-15,22809.82,278,145,359,3.7
2026-05-16,14387.14,226,158,368,2.4
2026-05-17,21871.79,246,207,291,3.3
2026-05-18,19302.44,305,203,359,3.6
2026-05-19,15625.07,235,178,276,6.6
2026-05-20,10689.74,289,214,209,2.9
2026-05-21,20746.32,294,197,442,6.9
2026-05-22,15646.95,159,234,554,1.6
2026-05-23,23115.82,230,197,469,10
2026-05-24,7986,240,190,342,4.7
2026-05-25,18709.46,300,228,452,5.4
2026-05-26,14563.13,205,197,474,1.9
2026-05-27,22173.35,211,192,334,1.6
2026-05-28,20660.36,279,231,515,4.5
2026-05-29,18256.25,223,242,410,7.1
2026-05-30,24458.74,197,228,306,7.1
2026-05-31,18072.74,230,148,413,4.4
2026-06-01,18533.62,234,224,301,4.2
2026-06-02,14894.31,256,174,385,6.4
2026-06-03,17661.79,247,220,472,1.5
2026-06-04,17242.52,223,203,340,1.2
2026-06-05,9316.25,190,158,398,1
2026-06-06,21915.32,268,249,387,3.9
2026-06-07,13466.71,249,144,480,5.7
2026-06-08,13098.09,201,221,528,7.8
2026-06-09,19678.31,266,194,399,4.5
2026-06-10,7255,216,202,219,5.5
2026-06-11,13906.81,245,149,124,1.1
2026-06-12,14627.46,265,227,393,1.3
2026-06-13,17090.74,219,127,351,1
2026-06-14,17637.07,311,217,400,2.2
2026-06-15,25955.03,336,183,381,8.2
2026-06-16,13548.19,267,241,362,2.9
2026-06-17,22440.85,167,170,354,4.5
2026-06-18,18284.47,234,274,233,7.1
2026-06-19,21785.52,257,229,453,5.6
2026-06-20,22931.12,231,221,514,2.4
2026-06-21,16646.55,233,152,400,3
2026-06-22,13241.37,297,238,511,5.8
2026-06-23,18144.04,301,174,589,2
2026-06-24,15688.8,264,220,402,1.1
2026-06-25,11933.27,309,214,279,2.9
2026-06-26,25134.23,221,222,585,5.3
2026-06-27,8185,305,189,208,3.6
2026-06-28,18341.39,255,174,402,5
2026-06-29,17694.53,316,187,207,3.7
2026-01-01,20332.5,219,196,461,4.5
2026-01-02,21307.4,258,212,406,1
2026-01-03,12636.4,228,221,578,6.2
2026-01-04,14048.52,240,188,392,2.5
2026-01-05,19963.63,290,190,489,3.8
2026-01-06,23835.39,296,181,417,3.2
2026-01-07,14940.9,203,206,437,2.9
2026-01-08,21344.02,164,188,397,2
2026-01-09,23766.35,327,176,539,6.7
2026-01-10,19839.05,259,142,321,4.6
2026-01-11,13726.19,270,177,365,3.5
2026-01-12,23867.23,272,179,287,4.4
2026-01-13,21978.46,287,230,462,1.2
2026-01-14,17842.68,283,215,375,3.4
2026-01-15,9102,317,225,478,4.2
2026-01-16,14411.52,210,212,294,2.5
2026-01-17,17737.54,268,189,426,3.6
2026-01-18,19335.43,198,215,158,3.3
2026-01-19,21941.07,255,184,475,5.2
2026-01-20,21769.55,244,100,286,6.2
2026-01-21,10593.76,291,179,445,7.1
2026-01-22,16406.91,319,241,627,7.3
2026-01-23,16570.28,274,255,397,3.7
2026-01-24,8308.75,190,202,341,4.3
2026-01-25,18495.57,309,202,468,5.7
2026-01-26,13790.59,324,200,261,1
2026-01-27,19991.13,238,232,469,1
2026-01-28,19725.71,283,171,513,4
2026-01-29,12317.1,241,193,371,4.8
2026-01-30,17895.35,311,167,283,2.1
2026-01-31,19072.12,229,262,235,1.7
2026-02-01,7717,250,234,296,8.8
2026-02-02,14326.03,283,272,382,2
2026-02-03,12591.02,240,222,471,4.9
2026-02-04,18109.99,209,207,358,2.6
2026-02-05,11887.43,309,167,532,3
2026-02-06,19737.66,285,204,544,6.6
2026-02-07,14815.49,320,220,445,4.8
2026-02-08,15805.09,205,205,378,3.7
2026-02-09,12396.69,212,175,475,2.3
2026-02-10,18592.99,257,272,331,8.7
2026-02-11,27265.83,226,193,371,2.8
2026-02-12,21819.93,231,195,333,1.8
2026-02-13,17306.97,256,231,378,3.5
2026-02-14,21913.82,254,231,251,2.2
2026-02-15,20626.5,230,180,462,4.6
2026-02-16,22223.26,236,172,181,2.7
2026-02-17,20999.53,194,190,392,2.2
2026-02-18,7693,154,164,338,5.1
2026-02-19,23426.47,296,223,496,7
2026-02-20,26771.59,253,123,394,6.5
2026-02-21,20908.87,264,191,502,5.4
2026-02-22,19822.97,270,197,517,5.9
2026-02-23,19849.17,350,158,411,3.2
2026-02-24,14470.4,250,245,435,8.3
2026-02-25,17359.39,244,154,472,3.1
2026-02-26,21713.7,232,192,544,3.5
2026-02-27,21274.09,265,176,516,3
2026-02-28,18230.83,329,169,580,8.4
2026-03-01,23254.77,253,182,347,4.5
2026-03-02,13075.52,269,185,384,5
2026-03-03,13840.25,199,274,608,2.9
2026-03-04,20209.69,244,233,339,2.2
2026-03-05,16866.02,320,165,398,5.7
2026-03-06,16798.85,236,193,407,3.8
2026-03-07,9309,295,131,488,2.8
2026-03-08,18397.28,345,132,542,2
2026-03-09,23117.57,345,270,402,1.4
2026-03-10,19147.74,257,128,486,1.8
2026-03-11,23047.03,303,180,423,3.1
2026-03-12,16399.12,399,157,424,5.3
2026-03-13,16654.81,231,143,527,4.8
2026-03-14,19644.77,192,207,445,2.9
2026-03-15,13181.41,257,159,427,3.6
2026-03-16,16816.45,299,187,467,4.3
2026-03-17,21528.61,216,177,161,3.8
2026-03-18,12970.79,214,193,409,1
2026-03-19,21135.6,250,145,487,8.3
2026-03-20,17156.71,234,186,490,4.2
2026-03-21,19680.56,253,219,437,1.8
2026-03-22,23251.75,235,141,423,2.6
2026-03-23,18494.22,305,191,467,2
2026-03-24,8230,223,130,490,2.1
2026-03-25,14178.14,213,266,443,5
2026-03-26,26986.34,233,176,554,1.1
2026-03-27,18258.88,262,223,456,1.9
2026-03-28,21402.86,298,153,358,2.6
2026-03-29,13977.31,307,178,394,1.6
2026-03-30,16619.11,326,216,274,1.7
2026-03-31,20224.6,237,170,342,1.1
2026-04-01,18333.51,242,229,413,1.8
2026-04-02,20428.32,320,164,266,2.6
2026-04-03,13275.32,333,141,390,6.2
2026-04-04,21049.24,236,162,403,3.1
2026-04-05,23237.39,253,142,508,5.4
2026-04-06,17206.21,294,191,311,3.4
2026-04-07,13993.63,231,157,449,3.8
2026-04-08,13381.12,218,189,461,3.6
2026-04-09,10276.22,317,252,562,4.5
2026-04-10,8794,230,196,318,3.7
2026-04-11,17327.52,211,199,431,7.5
2026-04-12,17274.48,322,229,553,2.2
2026-04-13,13587.55,254,172,502,1
2026-04-14,19477.85,240,173,370,2
2026-04-15,17425.97,167,154,185,4.8
2026-04-16,18068.05,261,126,458,3.8
2026-04-17,19561.8,239,172,508,3.2
2026-04-18,24952.92,196,181,318,2.1
2026-04-19,15235.03,238,217,317,4.6
2026-04-20,12956.89,241,236,461,4
2026-04-21,20205.37,285,211,546,1.6
2026-04-22,17752.41,288,216,470,5.9
2026-04-23,16246.52,199,234,419,2.5
2026-04-24,18125.16,240,225,500,4.1
2026-04-25,19893.04,261,225,207,1.4
2026-04-26,17860.24,241,156,475,1.7
2026-04-27,7688,265,192,345,3.2
2026-04-28,22294.28,271,145,434,1.4
2026-04-29,13446.26,256,185,531,5.7
2026-04-30,17749.85,263,130,361,4
2026-05-01,12907.95,293,174,364,3.8
2026-05-02,17365.74,252,259,573,5.4
2026-05-03,22735.14,315,204,562,2.2
2026-05-04,11548.64,223,166,302,9.7
2026-05-05,19552.31,205,143,395,6
2026-05-06,26477.18,244,234,523,2.9
2026-05-07,23206.95,211,228,532,3
2026-05-08,18645.27,248,240,405,2.6
2026-05-09,19872.42,291,191,593,2.7
2026-05-10,19210.01,217,153,394,4
2026-05-11,19656.84,185,142,505,2.2
2026-05-12,11258.69,210,201,262,1.7
2026-05-13,18887.28,243,238,397,2.4
2026-05-14,9026,272,156,184,2.8
2026-05-15,16736.56,292,172,406,5.4
2026-05-16,13066.1,320,153,541,4.2
2026-05-17,18328.64,253,208,397,1
2026-05-18,20928.54,126,240,576,1.5
2026-05-19,15717.45,346,201,392,3
2026-05-20,19116.01,226,146,539,4.3
2026-05-21,17117.43,185,176,436,4.5
2026-05-22,19365.47,313,212,323,3.3
2026-05-23,21207.29,262,240,542,2.8
2026-05-24,14255.01,262,205,434,2.7
2026-05-25,16012.63,288,142,530,5.3
2026-05-26,14443.54,252,178,306,2.5
2026-05-27,19672.77,295,203,565,8
2026-05-28,15664.07,279,262,449,4.2
2026-05-29,17591.9,218,134,488,3.5
2026-05-30,23034.09,260,237,406,2
2026-05-31,7772,256,230,269,4.2
2026-06-01,22596.81,259,160,601,4.8
2026-06-02,21925.8,245,221,488,1.7
2026-06-03,15612.27,391,175,463,3.1
2026-06-04,20909.89,215,154,522,3.9
2026-06-05,9328.33,261,183,483,4.1
2026-06-06,19197.69,263,200,316,2
2026-06-07,15016.91,199,217,516,4.6
2026-06-08,15895.69,235,174,520,4.4
2026-06-09,24086.19,216,182,306,1
2026-06-10,17456.59,244,172,281,3.9
2026-06-11,17006.46,301,209,301,4.2
2026-06-12,15903.96,328,188,170,2.8
2026-06-13,12746.86,218,190,253,3.1
2026-06-14,17804,303,189,237,3.4
2026-06-15,16255.69,292,171,320,4.4
2026-06-16,17227.13,381,161,344,2.9
2026-06-17,9350,277,173,505,6.1
2026-06-18,17204.84,240,189,413,3.7
2026-06-19,17573.05,301,199,469,10.3
2026-06-20,24154.86,277,178,291,3.7
2026-06-21,20610.33,294,174,473,1.4
2026-06-22,21829.97,305,213,440,3
2026-06-23,17893.8,185,231,523,1.2
2026-06-24,17446.25,277,157,443,2.7
2026-06-25,23923.92,257,163,257,7
2026-06-26,24052.7,258,185,307,3.8
2026-06-27,16083.33,269,186,296,2.8
2026-06-28,17830.95,254,159,550,1.4
2026-06-29,22018.55,249,212,513,3.3
2026-01-01,27108.16,230,207,476,4.8
2026-01-02,18691.7,286,160,498,2.3
2026-01-03,17939.09,200,140,415,1.6
2026-01-04,20887.09,321,209,470,4.6
2026-01-05,7956,177,138,525,2.6
2026-01-06,21410.49,287,200,442,1.2
2026-01-07,19174.5,282,155,439,1
2026-01-08,15974.81,270,218,415,4.4
2026-01-09,20921.79,317,214,296,6.8
2026-01-10,19668.25,250,203,420,5.2
2026-01-11,12755.59,254,183,694,5.3
2026-01-12,18691.43,188,207,167,5.5
2026-01-13,18902.49,271,194,357,9.1
2026-01-14,21354.67,277,184,247,1.4
2026-01-15,28680.6,329,206,542,3.8
2026-01-16,16567.98,306,137,574,6.5
2026-01-17,25549.62,291,138,478,1.7
2026-01-18,18083.67,222,204,480,2.7
2026-01-19,16127.62,268,153,338,2.2
2026-01-20,14713.26,298,163,495,4.4
2026-01-21,13611.64,291,197,354,5.8
2026-01-22,8985,303,194,396,1.5
2026-01-23,15482.1,308,177,484,5.9
2026-01-24,18769.4,340,201,388,6.7
2026-01-25,14760.16,267,167,387,4.2
2026-01-26,20227.07,263,233,457,1
2026-01-27,18749.86,151,101,302,1
2026-01-28,23281.58,287,188,426,5.1
2026-01-29,17753.62,217,144,343,2.1
2026-01-30,21638.53,328,256,505,1
2026-01-31,22299.24,249,194,442,5.8
2026-02-01,19641.35,310,194,358,5.7
2026-02-02,19109.54,221,217,565,3.9
2026-02-03,17096.55,302,233,447,4.2
2026-02-04,14710.45,252,239,481,2.2
2026-02-05,14042.13,239,216,564,8
2026-02-06,15407.21,220,167,548,1
2026-02-07,15210.45,228,168,336,1
2026-02-08,9346,310,183,474,6.3
2026-02-09,18061.52,147,260,442,3.4
2026-02-10,11689.8,199,214,168,1
2026-02-11,14708.32,251,202,374,4.8
2026-02-12,12105.07,172,212,299,3.3
2026-02-13,14860.89,290,191,390,1.9
2026-02-14,19288.06,190,225,448,2.5
2026-02-15,19021.11,180,227,368,4.9
2026-02-16,20932.55,190,137,348,3.8
2026-02-17,21789.59,263,181,489,3.7
2026-02-18,20532.79,285,205,385,7.3
2026-02-19,21790.03,300,185,609,3.1
2026-02-20,16951.4,214,162,318,3
2026-02-21,18466.55,200,272,323,4.7
2026-02-22,21894.15,234,174,356,5
2026-02-23,19982.06,210,177,427,3.6
2026-02-24,23558.98,303,161,347,4.5
2026-02-25,8628,180,116,376,3.6
2026-02-26,10694.5,277,185,548,2.2
2026-02-27,20188.46,238,205,513,4
2026-02-28,17439.26,345,171,399,9
2026-03-01,16509.92,276,156,422,2.2
2026-03-02,21212.13,276,100,386,1.9
2026-03-03,10418.9,230,178,392,5.2
2026-03-04,18565.45,250,151,373,1
2026-03-05,13669.35,326,258,211,4.9
2026-03-06,19201.12,286,193,444,5.9
2026-03-07,20508.52,284,252,492,5.4
2026-03-08,15606.35,325,195,384,1.4
2026-03-09,16461.74,293,156,432,3.4
2026-03-10,16571.98,202,193,376,4.9
2026-03-11,21655.56,158,145,162,4
2026-03-12,19567.15,171,242,293,3.3
2026-03-13,23084.59,214,172,462,5.1
2026-03-14,7201,213,161,472,5.5
2026-03-15,14304.99,257,111,434,3.3
2026-03-16,19221.97,225,182,522,3.2
2026-03-17,16498.63,276,176,516,3.2
2026-03-18,19271.8,228,146,484,4
2026-03-19,20231.03,293,138,430,1
2026-03-20,19817.76,211,206,485,2.5
2026-03-21,17919.34,315,132,477,3.7
2026-03-22,21318.51,185,190,519,5.9
2026-03-23,15307.61,247,254,292,6.6
2026-03-24,21316.65,268,171,388,5.1
2026-03-25,14617.12,244,206,537,1.7
2026-03-26,16925.25,225,174,455,1
2026-03-27,14026.7,300,150,388,2.2
2026-03-28,17406.37,264,201,269,7.5
2026-03-29,18430.7,223,152,488,3.6
2026-03-30,19013.79,223,239,393,1.9
2026-03-31,8626,240,211,287,4.1
2026-04-01,17633.43,257,281,419,4.7
2026-04-02,14196.28,229,174,378,1.6
2026-04-03,16547.12,291,177,484,1
2026-04-04,10827.64,243,171,353,3.4
2026-04-05,24472.02,291,203,334,3.1
2026-04-06,19740.98,312,196,364,7.3
2026-04-07,13278.74,301,91,274,4.2
2026-04-08,15063.07,244,138,353,1.9
2026-04-09,21071.44,244,183,187,2.2
2026-04-10,14258.83,279,200,411,6.8
2026-04-11,18180.46,231,176,346,4.9
2026-04-12,19744.97,258,160,439,1.9
2026-04-13,17806.36,297,213,338,5.1
2026-04-14,14551.81,276,185,501,2.1
2026-04-15,20309.67,227,186,448,6.9
2026-04-16,16491.03,210,214,502,2.4
